#ID	Name
G1	yneL
G1158	arpA
G1159	bioH
G1160	dnaC
G1161	nadB
G1162	decoy163
G1163	yiaA
G1164	mltA
G1165	rzpR
G1166	ybiS
G1167	ybdL
G1168	yajD
G1169	yjcF
G1170	ruvA
G1171	decoy115
G1172	yqjE
G1173	fabZ
G1174	ygiS
G1175	ygfO
G1176	yfgG
G1177	mhpA
G1178	eutA
G1179	garD
G1180	slmA
G1181	ppdD
G1182	purT
G1183	kgtP
G1184	rfaS
G1185	yhcO
G1186	ydiU
G1187	ydjK
G1188	pgaD
G1189	yddB
G1190	lacA
G1191	yhiM
G1192	cmk
G1193	ybhO
G1194	yfaZ
G1195	lldP
G1196	yciZ
G1197	intD
G1198	recF
G1199	rpmE
G1200	ymfL
G1201	yhbO
G1202	yjgZ
G1203	mog
G1204	gshB
G1205	ycbU
G1206	frc
G1207	ybgJ
G1208	cspF
G1209	fabF
G1210	mdtK
G1211	ygiD
G1212	atoB
G1213	cho
G1214	yeaU
G1215	ybgI
G1216	baeS
G1217	pepQ
G1218	shiA
G1219	ksgA
G1220	hemG
G1221	atoD
G1222	purL
G1223	yraK
G1224	ydfN
G1225	yhdU
G1226	aqpZ
G1227	grxC
G1228	yafZ
G1229	yffQ
G1230	grxA
G1231	ycgE
G1232	maa
G1233	pabA
G1234	glyQ
G1235	yeeR
G1236	narZ
G1237	ftsY
G1238	msrA
G1239	yjfO
G1240	decoy160
G1241	yfeA
G1242	clpA
G1243	ybhA
G1244	yjjL
G1245	yehP
G1246	fumC
G1247	allC
G1248	rsmC
G1249	torZ
G1250	hlyE
G1251	yfbV
G1252	pawZ
G1253	yeiT
G1254	prkB
G1255	znuA
G1256	argA
G1257	ycjN
G1258	idi
G1259	yihS
G1260	yfdI
G1261	yebN
G1262	setB
G1263	secE
G1264	ybiO
G1265	fkpA
G1266	acrB
G1267	yacL
G1268	ycbC
G1269	yagA
G1270	pcm
G1271	secA
G1272	uvrC
G1273	sbcC
G1274	ymgF
G1275	clpP
G1276	ttcC
G1277	yheO
G1278	yjeK
G1279	ppdC
G1280	ytfE
G1281	phnI
G1282	rutC
G1283	rzpQ
G1284	iscA
G1285	decoy210
G1286	aaeX
G1287	decoy183
G1288	decoy182
G1289	yfgJ
G1290	glnH
G1291	ybgS
G1292	yieP
G1293	yieF
G1294	eamA
G1295	yfaW
G1296	yhjK
G1297	map
G1298	ydgU
G1299	anmK
G1300	yaeR
G1301	yccF
G1302	asmA
G1303	ybaE
G1304	hemX
G1305	raiA
G1306	yfdP
G1307	erpA
G1308	tdh
G1309	decoy185
G1310	rfbX
G1311	gspM
G1312	mhpT
G1313	yahE
G1314	mraW
G1315	apt
G1316	yicE
G1317	yjdQ
G1318	ansA
G1319	yoeA
G1320	yqjB
G1321	yghR
G1322	glmU
G1323	cyoE
G1324	rbsC
G1325	bcsF
G1326	rutD
G1327	yphA
G1328	glnB
G1329	yheL
G1330	gltK
G1331	gutQ
G1332	hmp
G1333	ycjG
G1334	yhdN
G1335	rplF
G1336	pdxA
G1337	decoy147
G1338	ybfM
G1339	flgN
G1340	ugpA
G1341	rplN
G1342	yejM
G1343	yodD
G1344	mscS
G1345	ytfB
G1346	yhbE
G1347	barA
G1348	secB
G1349	yjjZ
G1350	yhbJ
G1351	ibpA
G1352	yehM
G1353	yecF
G1354	nusG
G1355	ulaF
G1356	yccE
G1357	arnB
G1358	decoy195
G1359	atoS
G1360	dgoK
G1361	yhhY
G1362	btuR
G1363	psrO
G1364	yhhQ
G1365	purN
G1366	rsmF
G1367	ispB
G1368	cobU
G1369	nudJ
G1370	argH
G1371	yjbF
G1372	ycgZ
G1373	era
G1374	yddA
G1375	hepA
G1376	nadK
G1377	pqqL
G1378	tyrS
G1379	yhfT
G1380	smtA
G1381	ylaB
G1382	panE
G1383	decoy112
G1384	yjeI
G1385	rihC
G1386	decoy143
G1387	glxR
G1388	yeaJ
G1389	yejG
G1390	ybbD
G1391	katE
G1392	fimB
G1393	ypaB
G1394	hycC
G1395	norW
G1396	ygeA
G1397	ttdA
G1398	melA
G1399	decoy75
G1400	hslV
G1401	metG
G1402	nhoA
G1403	speB
G1404	gltB
G1405	yehE
G1406	hisC
G1407	decoy205
G1408	flgE
G1409	chaA
G1410	yeiS
G1411	ygfS
G1412	ybhL
G1413	yagT
G1414	lpxC
G1415	gltL
G1416	decoy204
G1417	yiaV
G1418	ubiG
G1419	yhgE
G1420	fucP
G1421	rfaL
G1422	pyrF
G1423	yceA
G1424	ydcU
G1425	intF
G1426	chpS
G1427	ssuB
G1428	tatD
G1429	thiI
G1430	ruvC
G1431	yjgK
G1432	rydB
G1433	dnaB
G1434	codB
G1435	pyrE
G1436	yagV
G1437	decoy208
G1438	yjcC
G1439	rpsE
G1440	yagU
G1441	yjiC
G1442	yfjT
G1443	nusB
G1444	zntA
G1445	cdsA
G1446	ytjA
G1447	ydiY
G1448	intE
G1449	decoy189
G1450	hokE
G1451	dnaN
G1452	ychM
G1453	priA
G1454	obgE
G1455	ymdE
G1456	decoy128
G1457	flgD
G1458	gabD
G1459	suhB
G1460	yqgB
G1461	pgaC
G1462	fliN
G1463	fkpB
G1464	epd
G1465	cld
G1466	ymfN
G1467	ydiN
G1468	rplB
G1469	cobS
G1470	nudG
G1471	ydjA
G1472	ydbH
G1473	agaC
G1474	murI
G1475	peaD
G1476	yjiL
G1477	skp
G1478	yjfZ
G1479	yeeD
G1480	ybaA
G1481	greA
G1482	dapE
G1483	yehC
G1484	minE
G1485	rutA
G1486	yqeK
G1487	prfB
G1488	yjeE
G1489	smg
G1490	nudC
G1491	dsbA
G1492	trpA
G1493	yqgE
G1494	glmS
G1495	ygaC
G1496	yfcC
G1497	yjiA
G1498	glnK
G1499	malX
G1500	rplP
G1501	matC
G1502	gspG
G1503	fic
G1504	visC
G1505	narJ
G1506	decoy87
G1507	lnt
G1508	yojO
G1509	yfiP
G1510	yadC
G1511	ydiR
G1512	znuC
G1513	decoy95
G1514	dcm
G1515	ompL
G1516	yedQ
G1517	yicT
G1518	mdtG
G1519	quuD
G1520	glmY
G1521	yajQ
G1522	sgcB
G1523	arnA
G1524	yfaY
G1525	pspD
G1526	gntP
G1527	lolE
G1528	nudK
G1529	murC
G1530	gatA
G1531	yciO
G1532	tdcB
G1533	yegI
G1534	cutA
G1535	hyi
G1536	exbD
G1537	ssrA
G1538	zraS
G1539	pflB
G1540	fepE
G1541	yedD
G1542	decoy100
G1543	fepG
G1544	yajG
G1545	carA
G1546	rfbD
G1547	ydfV
G1548	arrD
G1549	pyrI
G1550	yjgL
G1551	mtlA
G1552	yabP
G1553	mreC
G1554	dinG
G1555	decoy187
G1556	ybcM
G1557	yiaN
G1558	rhtA
G1559	rpsQ
G1560	prs
G1561	ydaE
G1562	puuP
G1563	yceG
G1564	phoA
G1565	rfaD
G1566	ftsA
G1567	yicN
G1568	yddJ
G1569	yegV
G1570	ykgB
G1571	ptsA
G1572	ghrA
G1573	hybG
G1574	ynaK
G1575	yhcE
G1576	yebB
G1577	grxD
G1578	msrB
G1579	yohK
G1580	thrL
G1581	hcaC
G1582	ygbL
G1583	yghF
G1584	yadM
G1585	osmB
G1586	nanE
G1587	wcaF
G1588	fucI
G1589	hycG
G1590	yraJ
G1591	ynfC
G1592	gnsA
G1593	yddE
G1594	yohN
G1595	dmsD
G1596	nupX
G1597	decoy194
G1598	trkH
G1599	ygfM
G1600	dacC
G1601	entF
G1602	yjeM
G1603	pncB
G1604	gudX
G1605	aes
G1606	vacJ
G1607	ynbC
G1608	aphA
G1609	prfH
G1610	decoy127
G1611	decoy199
G1612	murE
G1613	yeeF
G1614	fabG
G1615	mdtQ
G1616	serA
G1617	sspA
G1618	ylcG
G1619	elaB
G1620	ybeM
G1621	rpsB
G1622	ycdZ
G1623	ykfF
G1624	focB
G1625	ybjO
G1626	mrdB
G1627	yhgA
G1628	yqjH
G1629	ycbQ
G1630	yjgR
G1631	frdA
G1632	ybgQ
G1633	potG
G1634	sbmA
G1635	yjgP
G1636	thiQ
G1637	cof
G1638	mutL
G1639	appA
G1640	lpp
G1641	yjhQ
G1642	bcr
G1643	uhpT
G1644	cybC
G1645	phoU
G1646	decoy98
G1647	metQ
G1648	rybA
G1649	cycA
G1650	ahpC
G1651	yebC
G1652	yiiD
G1653	glcB
G1654	rfaZ
G1655	ykiA
G1656	yibJ
G1657	rarA
G1658	yjcH
G1659	rfaC
G1660	ggt
G1661	xerC
G1662	ptsG
G1663	ynfD
G1664	yjbE
G1665	yedL
G1666	yegH
G1667	decoy179
G1668	mioC
G1669	yiaW
G1670	yegQ
G1671	decoy117
G1672	hisI
G1673	tppB
G1674	nepI
G1675	rnd
G1676	ycfT
G1677	dnaK
G1678	ydfJ
G1679	ybfI
G1680	yghQ
G1681	yheM
G1682	cydC
G1683	ydjG
G1684	decoy63
G1685	ydeE
G1686	entS
G1687	ylaC
G1688	yeeS
G1689	yliF
G1690	fadK
G1691	nlpI
G1692	rfaG
G1693	nrfD
G1694	ydbJ
G1695	agaD
G1696	amiD
G1697	mak
G1698	mreD
G1699	yadE
G1700	rffH
G1701	rhsE
G1702	putP
G1703	cpxA
G1704	lsrC
G1705	nrfC
G1706	cybB
G1707	yibQ
G1708	bdm
G1709	emrE
G1710	proS
G1711	decoy35
G1712	wcaA
G1713	yeaL
G1714	ycaO
G1715	agaB
G1716	grpE
G1717	yfgC
G1718	yagR
G1719	nanA
G1720	ybbM
G1721	frwB
G1722	yhhM
G1723	ydiF
G1724	ygfF
G1725	yafQ
G1726	icdC
G1727	alsA
G1728	yegW
G1729	gmk
G1730	nuoL
G1731	chaB
G1732	chpB
G1733	csdA
G1734	phnL
G1735	yeeW
G1736	fldA
G1737	yafU
G1738	sbcD
G1739	yegX
G1740	ytfQ
G1741	psrD
G1742	yjhD
G1743	glcF
G1744	proM
G1745	rph
G1746	yjhP
G1747	yeaI
G1748	fsaB
G1749	efp
G1750	gsiC
G1751	amtB
G1752	decoy59
G1753	wcaM
G1754	yhdE
G1755	decoy85
G1756	pabB
G1757	ybaK
G1758	rraA
G1759	yfeX
G1760	hemE
G1761	speF
G1762	yebF
G1763	acpP
G1764	yeaG
G1765	tonB
G1766	solA
G1767	prpB
G1768	gatB
G1769	ytfK
G1770	rfaJ
G1771	ydhW
G1772	torA
G1773	rplW
G1774	ygiN
G1775	wzc
G1776	glnP
G1777	fliE
G1778	ptsI
G1779	ydfP
G1780	adk
G1781	rseA
G1782	efeU
G1783	araH
